Reference,,Model,SiO2,TiO2,Al2O3,Cr2O3,Fe2O3,FeO,Fe2O3T,MnO,MgO,CaO,Na2O,K2O,NiO,P2O5,H2O
,Earth,Depleted Mantle of McKenzie & O'Nions '91,45.57,0.17,2.7,0.44,0.111,7.92,8.91,0.13,40.8,2.41,0.24,0.024,0.25,0.014,0.001
,Earth,Pilbara Primary Melt,49.244,0.3977,12.909131,0,0.9334,8.6493,10.54,0.1561,15.7649,10.4738,1.1602,0.0246,0,0,0.05
,Earth,Primitive Mantle McKenzie & Onions '91,45.57,0.17,2.7,0.44,0.111,7.92,8.91,0.13,40.8,2.41,0.24,0.024,0.25,0.014,0.001
,Earth,Primitive Mantle Sun & McDonough '89,44.9,4.44,0.116,7.926,0.13,37.71,42.03,3.54,0.36,0.38,0.2,0.25,0.029,0.021,0.001
Longhi (2006),Moon,LPUM,46.1,0.17,3.93,0.5,0,7.62,8.47,0.13,38.3,3.18,0.05,0.01,0,0.02,0.001
Warren (2005),Moon,W,46.8,0.18,3.87,0.44,0,9.24,10.27,0.13,36,3.06,0.05,0.01,0,0.02,0.001
Jones and Delano (1989),Moon,JD,44,0.18,3.9,0,0,10,11.11,0.12,38.7,3.1,,0.01,0,0.02,0.001
O'Neill (1991),Moon,ON,44.6,0.17,3.9,0.47,0,12.4,13.78,0.17,35.1,3.3,0.05,0.01,0,0.02,0.001
Wänke and Dreibus (1982),Moon,WD,44.3,0.18,3.76,0.37,0,12.65,14.06,0.16,35.5,3.15,0.06,0.01,0,0.02,0.001
Taylor (1982),Moon,TWM,44.4,0.31,6.14,0.61,0,10.9,12.11,0.15,32.7,4.6,0.09,0.01,0,0.02,0.001
Taylor and Bence (1975),Moon,TB,45.9,0.3,6,0,0,10.5,11.67,,32.4,4.9,0.1,0.01,0,0.02,0.001
Pilbara Compilation,Earth,Pilbara Komatiitic Basalt - 179738 (Apex Basalt),48.763,0.378,7.945,0,0,9.3102931,10.345,0.217,17.425,13.492,0.104,0.019,0,0.024,1.827
Sossi et al. 2016,Earth,Barberton - sp ol,45.87,0.22,4.07,0,0,11.598422,12.89,0.24,30.11,5.87,0.49,0.19,0,0.04,6.31
Sossi et al. 2016,Earth,Barberton - sp ,47.7,0.42,4.51,0,0,11.391468,12.66,0.2,26.06,7.33,0.62,0.04,0,0.04,5.33
Sossi et al. 2016,Earth,Belingwe - sp ol,47.12,0.32,6.76,0,0,11.175516,12.42,0.23,25.97,6.45,0.54,0.19,0,0.02,5.48
Sossi et al. 2016,Earth,Yilgarn - sp ol,46.16,0.36,7.07,0,0,10.57265,11.75,0.22,27,6.94,0.66,0.05,0,0.03,7.41
Sossi et al. 2016,Earth,Regal-Ruth Well - sp ol,46.77,0.38,4.16,0,0,11.83237,13.15,0.17,29,5.9,0.44,0.04,0,0.05,12.52
Sossi et al. 2016,Earth,Coonterunah - sp ol,49.03,0.36,8,0,0,10.941568,12.16,0.2,22.93,7.09,0.16,0.02,0,0.03,9.18
Sossi et al. 2016,Earth,Munro - sp,45.47,0.41,8.69,0,0,11.094534,12.33,0.21,22.56,8.85,0.7,0.1,0,0.05,4.25
